Id,Item_ID,Product,Quantity,Price
1,I00001,Samsung Galaxy A36,2,1979.1
2,I00002,Samsung Galaxy Tab S6 Lite,1,1799.01
3,I00003,"Soundbar Samsung com 2.1 canais, Dolby Digital",2,1072.0
4,I00004,Carregador Turbo USB-C 30W,4,49.9
5,I00005,Carregador Turbo Tipo-C 50w,3,53.9
6,I00006,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0
7,I00007,Samsung Galaxy Tab S6 Lite,3,1799.01
8,I00008,ACER Notebook Gamer Nitro,2,4604.0
9,I00009,SSD Crucial 1TB NVMe M.2,1,449.0
10,I00010,"Projetor Smart Epson EpiqVision, FULL HD",3,3049.99
11,I00011,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0
12,I00012,"Soundbar Tomate MTS-2017, Bivolt",2,769.9
13,I00013,ACER Notebook Gamer Nitro,4,4604.0
14,I00014,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0
15,I00015,Fone de ouvido Sem Fio QCY T27,2,129.86
16,I00016,Película para iPhone 14Pro Anti impacto,2,51.8
17,I00017,"Monitor UHD Samsung 32""",2,1626.57
18,I00018,Carregador Turbo Tipo-C 50w,2,53.9
19,I00019,"Fone de Ouvido Sem Fio TWS, PHILIPS",2,124.91
20,I00020,Carregador Turbo USB-C 30W,3,49.9
21,I00021,"Monitor UHD Samsung 32""",2,1626.57
22,I00022,"Soundbar Samsung com 2.1 canais, Dolby Digital",1,1072.0
23,I00023,Smart TV 32” Philco LED Roku TV,2,949.0
24,I00024,Smart TV 32” Philco LED Roku TV,1,949.0
25,I00025,Película para iPhone 14Pro Anti impacto,2,51.8
26,I00026,"Monitor UHD Samsung 32""",4,1626.57
27,I00027,"Projetor Smart Epson EpiqVision, FULL HD",1,3049.99
28,I00028,"Soundbar Samsung com 2.1 canais, Dolby Digital",3,1072.0
29,I00029,Teclado Mecanico Fizz,2,174.9
30,I00030,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0
31,I00031,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0
32,I00032,Fone de Ouvido Profissional EDIFIER WH950NB,1,899.0
33,I00033,"Soundbar Tomate MTS-2017, Bivolt",3,769.9
34,I00034,ACER Notebook Gamer Nitro,4,4604.0
35,I00035,Película de Vidro 3D Galaxy A30s,3,17.9
36,I00036,Carregador Turbo Tipo-C 50w,4,53.9
37,I00037,Carregador Turbo Tipo-C 50w,1,53.9
38,I00038,"Fone de Ouvido Sem Fio TWS, PHILIPS",4,124.91
39,I00039,Samsung Galaxy A36,3,1979.1
40,I00040,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0
41,I00041,Teclado Mecanico Fizz,1,174.9
42,I00042,Carregador Turbo Tipo-C 50w,1,53.9
43,I00043,"Soundbar Tomate MTS-2017, Bivolt",2,769.9
44,I00044,Fone de Ouvido Profissional EDIFIER WH950NB,1,899.0
45,I00045,"Fone de Ouvido Sem Fio TWS, PHILIPS",1,124.91
46,I00046,Projetor EPSON Powerlite Wide Screen,3,2742.13
47,I00047,ACER Notebook Gamer Nitro,3,4604.0
48,I00048,Fone de Ouvido Profissional EDIFIER WH950NB,2,899.0
49,I00049,Fone de Ouvido Profissional AKG K92,1,428.99
50,I00050,Carregador Turbo Tipo-C 50w,1,53.9
51,I00051,Teclado Mecanico Fizz,1,174.9
52,I00052,Fone de Ouvido Profissional EDIFIER WH950NB,3,899.0
53,I00053,Samsung Galaxy Tab S6 Lite,2,1799.01
54,I00054,ACER Notebook Gamer Nitro,3,4604.0
55,I00055,Fone de Ouvido Profissional AKG K92,4,428.99
56,I00056,"Smart TV LED 32""Samsung LED Tizen TV",2,1079.0
57,I00057,Samsung Galaxy Tab S6 Lite,3,1799.01
58,I00058,"Soundbar Tomate MTS-2017, Bivolt",4,769.9
59,I00059,Fone de Ouvido Profissional EDIFIER WH950NB,4,899.0
60,I00060,Fone de ouvido Sem Fio QCY T27,2,129.86
61,I00061,"Fone de Ouvido Sem Fio TWS, PHILIPS",4,124.91
62,I00062,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0
63,I00063,Mouse Redragon Wireless,4,165.99
64,I00064,"Soundbar Tomate MTS-2017, Bivolt",3,769.9
65,I00065,Fone de ouvido Sem Fio QCY T27,1,129.86
66,I00066,Película de Vidro 3D Galaxy A30s,2,17.9
67,I00067,Carregador Turbo USB-C 30W,1,49.9
68,I00068,"Smart TV LED 32""Samsung LED Tizen TV",4,1079.0
69,I00069,"Smart TV LED 32""Samsung LED Tizen TV",3,1079.0
