Id,Order_Date,Discount,Subtotal,Total,payment,Purchase_Status
1,2025-04-12 00:52:33,0.1048,3958.2,3586.28,Credito,Processando
2,2025-05-05 01:02:38,0.1141,1799.01,1636.64,PIX,Em Analise
3,2025-04-27 23:05:38,0.0686,2144.0,2019.82,Boleto,Cancelado
4,2025-04-10 02:42:52,0.0264,199.6,237.23,Debito,Processando
5,2025-05-12 21:55:33,0.0697,161.7,193.33,Credito,Em Analise
6,2025-05-11 20:17:17,0.0972,1798.0,1666.13,Credito,Cancelado
7,2025-03-18 05:42:47,0.0913,5397.03,4947.18,Boleto,Em Analise
8,2025-02-27 06:54:32,0.0106,9208.0,9143.39,PIX,Confirmado
9,2025-05-04 04:29:08,0.0097,449.0,467.54,PIX,Em Analise
10,2025-04-16 20:57:08,0.1448,9149.97,7867.95,PIX,Cancelado
11,2025-04-16 02:03:43,0.0228,4316.0,4260.5,Debito,Em Analise
12,2025-03-25 09:52:22,0.0442,1539.8,1504.73,Credito,Confirmado
13,2025-03-01 16:09:23,0.1151,18416.0,16319.22,PIX,Cancelado
14,2025-02-26 12:39:38,0.0615,4316.0,4093.47,Boleto,Processando
15,2025-03-05 23:27:59,0.0272,259.72,295.56,Credito,Processando
16,2025-03-06 14:45:45,0.0701,103.6,119.24,Debito,Cancelado
17,2025-02-28 06:40:58,0.0853,3253.14,3008.64,Boleto,Confirmado
18,2025-03-11 05:37:17,0.0679,107.8,143.38,Credito,Processando
19,2025-05-08 04:47:07,0.1378,249.82,238.29,Credito,Cancelado
20,2025-03-10 10:30:01,0.0427,149.7,186.21,Credito,Em Analise
21,2025-04-01 12:47:17,0.0992,3253.14,2973.33,PIX,Em Analise
22,2025-03-12 14:29:34,0.0168,1072.0,1096.89,Credito,Em Analise
23,2025-02-25 05:46:45,0.0588,1898.0,1819.39,Credito,Em Analise
24,2025-04-20 21:15:27,0.1111,949.0,886.47,Debito,Cancelado
25,2025-03-25 13:17:21,0.0337,103.6,133.1,PIX,Confirmado
26,2025-05-01 13:57:46,0.0885,6506.28,5963.46,Credito,Cancelado
27,2025-04-21 15:50:53,0.023,3049.99,3022.74,Credito,Processando
28,2025-04-22 23:40:44,0.0154,3216.0,3209.37,Boleto,Confirmado
29,2025-02-19 04:48:16,0.0785,349.8,345.24,Debito,Processando
30,2025-02-24 02:23:43,0.1013,1798.0,1658.76,PIX,Cancelado
31,2025-04-13 11:48:49,0.017,1798.0,1810.33,Boleto,Cancelado
32,2025-03-06 00:42:28,0.1377,899.0,808.2,PIX,Em Analise
33,2025-04-06 06:58:45,0.0339,2309.7,2254.3,Credito,Confirmado
